EU753,area,id,type
Afghanistan,,3,Timber exposed zone
Albania,,3,Timber exposed zone
Algeria,,3,Timber exposed zone
Angola,,3,Timber exposed zone
Argentina,,3,Timber exposed zone
Armenia,,3,Timber exposed zone
Australia,,3,Timber exposed zone
Azerbaijan,,3,Timber exposed zone
Bahamas,,3,Timber exposed zone
Bangladesh,,3,Timber exposed zone
Belarus,30108.0324599617,3,Timber exposed zone
Belize,,3,Timber exposed zone
Benin,,3,Timber exposed zone
Bhutan,,3,Timber exposed zone
Bolivia,,3,Timber exposed zone
Bosnia and Herzegovina,,3,Timber exposed zone
Botswana,,3,Timber exposed zone
Brazil,,3,Timber exposed zone
Brunei Darussalam,,3,Timber exposed zone
Burkina Faso,,3,Timber exposed zone
Burundi,,3,Timber exposed zone
Cambodia,,3,Timber exposed zone
Cameroon,,3,Timber exposed zone
Canada,55552.4061200493,3,Timber exposed zone
Central African Republic,,3,Timber exposed zone
Chad,,3,Timber exposed zone
Chile,,3,Timber exposed zone
China,,3,Timber exposed zone
Colombia,,3,Timber exposed zone
Costa Rica,,3,Timber exposed zone
Cote d'Ivoire,,3,Timber exposed zone
Cuba,,3,Timber exposed zone
Dem. Rep. Korea,,3,Timber exposed zone
Democratic Republic of the Congo,,3,Timber exposed zone
Djibouti,,3,Timber exposed zone
Dominican Republic,,3,Timber exposed zone
Ecuador,,3,Timber exposed zone
Egypt,,3,Timber exposed zone
El Salvador,,3,Timber exposed zone
Equatorial Guinea,,3,Timber exposed zone
Eritrea,,3,Timber exposed zone
Ethiopia,,3,Timber exposed zone
EU,11803783.1742053,3,Timber exposed zone
Fiji,,3,Timber exposed zone
Franch_GYN,,3,Timber exposed zone
Gabon,,3,Timber exposed zone
Georgia,,3,Timber exposed zone
Ghana,,3,Timber exposed zone
Guatemala,,3,Timber exposed zone
Guinea,,3,Timber exposed zone
Guinea-Bissau,,3,Timber exposed zone
Guyana,,3,Timber exposed zone
Haiti,,3,Timber exposed zone
Honduras,,3,Timber exposed zone
Iceland,,3,Timber exposed zone
India,,3,Timber exposed zone
Indonesia,,3,Timber exposed zone
Iran,,3,Timber exposed zone
Iraq,,3,Timber exposed zone
Israel,,3,Timber exposed zone
Jamaica,,3,Timber exposed zone
Japan,,3,Timber exposed zone
Jordan,,3,Timber exposed zone
Kazakhstan,,3,Timber exposed zone
Kenya,,3,Timber exposed zone
Kingdom of eSwatini,,3,Timber exposed zone
Kosovo,,3,Timber exposed zone
Kuwait,,3,Timber exposed zone
Kyrgyzstan,,3,Timber exposed zone
Lao PDR,,3,Timber exposed zone
Lebanon,,3,Timber exposed zone
Lesotho,,3,Timber exposed zone
Liberia,,3,Timber exposed zone
Libya,,3,Timber exposed zone
Madagascar,,3,Timber exposed zone
Malawi,,3,Timber exposed zone
Malaysia,,3,Timber exposed zone
Mali,,3,Timber exposed zone
Mauritania,,3,Timber exposed zone
Mexico,,3,Timber exposed zone
Moldova,,3,Timber exposed zone
Mongolia,,3,Timber exposed zone
Montenegro,,3,Timber exposed zone
Morocco,,3,Timber exposed zone
Mozambique,,3,Timber exposed zone
Myanmar,,3,Timber exposed zone
Namibia,,3,Timber exposed zone
Nepal,,3,Timber exposed zone
New Caledonia,,3,Timber exposed zone
New Zealand,,3,Timber exposed zone
Nicaragua,,3,Timber exposed zone
Niger,,3,Timber exposed zone
Nigeria,,3,Timber exposed zone
North Macedonia,,3,Timber exposed zone
Northern Cyprus,,3,Timber exposed zone
Norway,690962.796435858,3,Timber exposed zone
Oman,,3,Timber exposed zone
Pakistan,,3,Timber exposed zone
Palestine,,3,Timber exposed zone
Panama,,3,Timber exposed zone
Papua New Guinea,,3,Timber exposed zone
Paraguay,,3,Timber exposed zone
Peru,,3,Timber exposed zone
Philippines,,3,Timber exposed zone
Puerto Rico,,3,Timber exposed zone
Qatar,,3,Timber exposed zone
Republic of Korea,,3,Timber exposed zone
Republic of the Congo,,3,Timber exposed zone
Russian Federation,367730.443270974,3,Timber exposed zone
Rwanda,,3,Timber exposed zone
Saudi Arabia,,3,Timber exposed zone
Senegal,,3,Timber exposed zone
Serbia,,3,Timber exposed zone
Sierra Leone,,3,Timber exposed zone
Solomon Islands,,3,Timber exposed zone
Somalia,,3,Timber exposed zone
Somaliland,,3,Timber exposed zone
South Africa,,3,Timber exposed zone
South Sudan,,3,Timber exposed zone
Sri Lanka,,3,Timber exposed zone
Sudan,,3,Timber exposed zone
Suriname,,3,Timber exposed zone
Switzerland,25606.3939098976,3,Timber exposed zone
Syria,,3,Timber exposed zone
Tajikistan,,3,Timber exposed zone
Tanzania,,3,Timber exposed zone
Thailand,,3,Timber exposed zone
The Gambia,,3,Timber exposed zone
Timor-Leste,,3,Timber exposed zone
Togo,,3,Timber exposed zone
Trinidad and Tobago,,3,Timber exposed zone
Tunisia,,3,Timber exposed zone
Turkey,,3,Timber exposed zone
Turkmenistan,,3,Timber exposed zone
Uganda,,3,Timber exposed zone
Ukraine,8273.74969956055,3,Timber exposed zone
United Arab Emirates,,3,Timber exposed zone
United Kingdom,15635.3575451248,3,Timber exposed zone
United States,,3,Timber exposed zone
Uruguay,,3,Timber exposed zone
Uzbekistan,,3,Timber exposed zone
Vanuatu,,3,Timber exposed zone
Venezuela,,3,Timber exposed zone
Vietnam,,3,Timber exposed zone
Western Sahara,,3,Timber exposed zone
Yemen,,3,Timber exposed zone
Zambia,,3,Timber exposed zone
Zimbabwe,,3,Timber exposed zone
Afghanistan,,5,Diversity exposed zone
Albania,,5,Diversity exposed zone
Algeria,,5,Diversity exposed zone
Angola,,5,Diversity exposed zone
Argentina,,5,Diversity exposed zone
Armenia,,5,Diversity exposed zone
Australia,48974.8280116402,5,Diversity exposed zone
Azerbaijan,,5,Diversity exposed zone
Bahamas,,5,Diversity exposed zone
Bangladesh,,5,Diversity exposed zone
Belarus,,5,Diversity exposed zone
Belize,,5,Diversity exposed zone
Benin,12205.1819241917,5,Diversity exposed zone
Bhutan,,5,Diversity exposed zone
Bolivia,,5,Diversity exposed zone
Bosnia and Herzegovina,,5,Diversity exposed zone
Botswana,,5,Diversity exposed zone
Brazil,,5,Diversity exposed zone
Brunei Darussalam,,5,Diversity exposed zone
Burkina Faso,,5,Diversity exposed zone
Burundi,,5,Diversity exposed zone
Cambodia,,5,Diversity exposed zone
Cameroon,,5,Diversity exposed zone
Canada,52450.8111144486,5,Diversity exposed zone
Central African Republic,,5,Diversity exposed zone
Chad,,5,Diversity exposed zone
Chile,,5,Diversity exposed zone
China,,5,Diversity exposed zone
Colombia,,5,Diversity exposed zone
Costa Rica,,5,Diversity exposed zone
Cote d'Ivoire,,5,Diversity exposed zone
Cuba,,5,Diversity exposed zone
Dem. Rep. Korea,,5,Diversity exposed zone
Democratic Republic of the Congo,,5,Diversity exposed zone
Djibouti,,5,Diversity exposed zone
Dominican Republic,,5,Diversity exposed zone
Ecuador,24616.8245978748,5,Diversity exposed zone
Egypt,,5,Diversity exposed zone
El Salvador,,5,Diversity exposed zone
Equatorial Guinea,,5,Diversity exposed zone
Eritrea,,5,Diversity exposed zone
Ethiopia,,5,Diversity exposed zone
EU,179671.074883371,5,Diversity exposed zone
Fiji,,5,Diversity exposed zone
Franch_GYN,12280.6142163248,5,Diversity exposed zone
Gabon,12302.1362447252,5,Diversity exposed zone
Georgia,,5,Diversity exposed zone
Ghana,,5,Diversity exposed zone
Guatemala,,5,Diversity exposed zone
Guinea,,5,Diversity exposed zone
Guinea-Bissau,,5,Diversity exposed zone
Guyana,,5,Diversity exposed zone
Haiti,,5,Diversity exposed zone
Honduras,,5,Diversity exposed zone
Iceland,,5,Diversity exposed zone
India,,5,Diversity exposed zone
Indonesia,,5,Diversity exposed zone
Iran,,5,Diversity exposed zone
Iraq,,5,Diversity exposed zone
Israel,,5,Diversity exposed zone
Jamaica,,5,Diversity exposed zone
Japan,,5,Diversity exposed zone
Jordan,,5,Diversity exposed zone
Kazakhstan,,5,Diversity exposed zone
Kenya,,5,Diversity exposed zone
Kingdom of eSwatini,,5,Diversity exposed zone
Kosovo,,5,Diversity exposed zone
Kuwait,,5,Diversity exposed zone
Kyrgyzstan,,5,Diversity exposed zone
Lao PDR,,5,Diversity exposed zone
Lebanon,,5,Diversity exposed zone
Lesotho,,5,Diversity exposed zone
Liberia,,5,Diversity exposed zone
Libya,,5,Diversity exposed zone
Madagascar,,5,Diversity exposed zone
Malawi,,5,Diversity exposed zone
Malaysia,,5,Diversity exposed zone
Mali,,5,Diversity exposed zone
Mauritania,,5,Diversity exposed zone
Mexico,,5,Diversity exposed zone
Moldova,,5,Diversity exposed zone
Mongolia,,5,Diversity exposed zone
Montenegro,,5,Diversity exposed zone
Morocco,,5,Diversity exposed zone
Mozambique,,5,Diversity exposed zone
Myanmar,,5,Diversity exposed zone
Namibia,,5,Diversity exposed zone
Nepal,,5,Diversity exposed zone
New Caledonia,,5,Diversity exposed zone
New Zealand,,5,Diversity exposed zone
Nicaragua,,5,Diversity exposed zone
Niger,,5,Diversity exposed zone
Nigeria,,5,Diversity exposed zone
North Macedonia,,5,Diversity exposed zone
Northern Cyprus,,5,Diversity exposed zone
Norway,18298.997271273,5,Diversity exposed zone
Oman,,5,Diversity exposed zone
Pakistan,,5,Diversity exposed zone
Palestine,,5,Diversity exposed zone
Panama,,5,Diversity exposed zone
Papua New Guinea,24438.5975681775,5,Diversity exposed zone
Paraguay,,5,Diversity exposed zone
Peru,,5,Diversity exposed zone
Philippines,,5,Diversity exposed zone
Puerto Rico,,5,Diversity exposed zone
Qatar,,5,Diversity exposed zone
Republic of Korea,,5,Diversity exposed zone
Republic of the Congo,,5,Diversity exposed zone
Russian Federation,88498.262659961,5,Diversity exposed zone
Rwanda,,5,Diversity exposed zone
Saudi Arabia,,5,Diversity exposed zone
Senegal,,5,Diversity exposed zone
Serbia,,5,Diversity exposed zone
Sierra Leone,,5,Diversity exposed zone
Solomon Islands,,5,Diversity exposed zone
Somalia,,5,Diversity exposed zone
Somaliland,,5,Diversity exposed zone
South Africa,,5,Diversity exposed zone
South Sudan,,5,Diversity exposed zone
Sri Lanka,,5,Diversity exposed zone
Sudan,,5,Diversity exposed zone
Suriname,,5,Diversity exposed zone
Switzerland,,5,Diversity exposed zone
Syria,,5,Diversity exposed zone
Tajikistan,,5,Diversity exposed zone
Tanzania,,5,Diversity exposed zone
Thailand,,5,Diversity exposed zone
The Gambia,,5,Diversity exposed zone
Timor-Leste,,5,Diversity exposed zone
Togo,,5,Diversity exposed zone
Trinidad and Tobago,,5,Diversity exposed zone
Tunisia,,5,Diversity exposed zone
Turkey,,5,Diversity exposed zone
Turkmenistan,,5,Diversity exposed zone
Uganda,,5,Diversity exposed zone
Ukraine,24247.6512472725,5,Diversity exposed zone
United Arab Emirates,,5,Diversity exposed zone
United Kingdom,,5,Diversity exposed zone
United States,323485.408360146,5,Diversity exposed zone
Uruguay,,5,Diversity exposed zone
Uzbekistan,,5,Diversity exposed zone
Vanuatu,,5,Diversity exposed zone
Venezuela,,5,Diversity exposed zone
Vietnam,,5,Diversity exposed zone
Western Sahara,,5,Diversity exposed zone
Yemen,,5,Diversity exposed zone
Zambia,,5,Diversity exposed zone
Zimbabwe,,5,Diversity exposed zone
Afghanistan,,7,Carbon exposed zone
Albania,,7,Carbon exposed zone
Algeria,,7,Carbon exposed zone
Angola,,7,Carbon exposed zone
Argentina,,7,Carbon exposed zone
Armenia,9406.06095117416,7,Carbon exposed zone
Australia,,7,Carbon exposed zone
Azerbaijan,,7,Carbon exposed zone
Bahamas,,7,Carbon exposed zone
Bangladesh,,7,Carbon exposed zone
Belarus,22298.9675049477,7,Carbon exposed zone
Belize,,7,Carbon exposed zone
Benin,,7,Carbon exposed zone
Bhutan,,7,Carbon exposed zone
Bolivia,,7,Carbon exposed zone
Bosnia and Herzegovina,,7,Carbon exposed zone
Botswana,,7,Carbon exposed zone
Brazil,,7,Carbon exposed zone
Brunei Darussalam,,7,Carbon exposed zone
Burkina Faso,,7,Carbon exposed zone
Burundi,,7,Carbon exposed zone
Cambodia,,7,Carbon exposed zone
Cameroon,,7,Carbon exposed zone
Canada,273147.331367964,7,Carbon exposed zone
Central African Republic,,7,Carbon exposed zone
Chad,,7,Carbon exposed zone
Chile,,7,Carbon exposed zone
China,,7,Carbon exposed zone
Colombia,,7,Carbon exposed zone
Costa Rica,,7,Carbon exposed zone
Cote d'Ivoire,,7,Carbon exposed zone
Cuba,,7,Carbon exposed zone
Dem. Rep. Korea,,7,Carbon exposed zone
Democratic Republic of the Congo,,7,Carbon exposed zone
Djibouti,,7,Carbon exposed zone
Dominican Republic,,7,Carbon exposed zone
Ecuador,,7,Carbon exposed zone
Egypt,,7,Carbon exposed zone
El Salvador,,7,Carbon exposed zone
Equatorial Guinea,,7,Carbon exposed zone
Eritrea,,7,Carbon exposed zone
Ethiopia,,7,Carbon exposed zone
EU,9282703.39326811,7,Carbon exposed zone
Fiji,,7,Carbon exposed zone
Franch_GYN,,7,Carbon exposed zone
Gabon,,7,Carbon exposed zone
Georgia,,7,Carbon exposed zone
Ghana,,7,Carbon exposed zone
Guatemala,,7,Carbon exposed zone
Guinea,,7,Carbon exposed zone
Guinea-Bissau,,7,Carbon exposed zone
Guyana,,7,Carbon exposed zone
Haiti,,7,Carbon exposed zone
Honduras,,7,Carbon exposed zone
Iceland,,7,Carbon exposed zone
India,,7,Carbon exposed zone
Indonesia,,7,Carbon exposed zone
Iran,19845.5906341805,7,Carbon exposed zone
Iraq,,7,Carbon exposed zone
Israel,,7,Carbon exposed zone
Jamaica,,7,Carbon exposed zone
Japan,,7,Carbon exposed zone
Jordan,,7,Carbon exposed zone
Kazakhstan,,7,Carbon exposed zone
Kenya,,7,Carbon exposed zone
Kingdom of eSwatini,,7,Carbon exposed zone
Kosovo,,7,Carbon exposed zone
Kuwait,,7,Carbon exposed zone
Kyrgyzstan,,7,Carbon exposed zone
Lao PDR,,7,Carbon exposed zone
Lebanon,,7,Carbon exposed zone
Lesotho,,7,Carbon exposed zone
Liberia,,7,Carbon exposed zone
Libya,,7,Carbon exposed zone
Madagascar,,7,Carbon exposed zone
Malawi,,7,Carbon exposed zone
Malaysia,,7,Carbon exposed zone
Mali,,7,Carbon exposed zone
Mauritania,,7,Carbon exposed zone
Mexico,88953.3843739704,7,Carbon exposed zone
Moldova,,7,Carbon exposed zone
Mongolia,,7,Carbon exposed zone
Montenegro,,7,Carbon exposed zone
Morocco,,7,Carbon exposed zone
Mozambique,,7,Carbon exposed zone
Myanmar,,7,Carbon exposed zone
Namibia,,7,Carbon exposed zone
Nepal,,7,Carbon exposed zone
New Caledonia,,7,Carbon exposed zone
New Zealand,,7,Carbon exposed zone
Nicaragua,,7,Carbon exposed zone
Niger,,7,Carbon exposed zone
Nigeria,,7,Carbon exposed zone
North Macedonia,9336.5560205368,7,Carbon exposed zone
Northern Cyprus,,7,Carbon exposed zone
Norway,96583.3339833496,7,Carbon exposed zone
Oman,,7,Carbon exposed zone
Pakistan,,7,Carbon exposed zone
Palestine,,7,Carbon exposed zone
Panama,,7,Carbon exposed zone
Papua New Guinea,,7,Carbon exposed zone
Paraguay,,7,Carbon exposed zone
Peru,,7,Carbon exposed zone
Philippines,,7,Carbon exposed zone
Puerto Rico,,7,Carbon exposed zone
Qatar,,7,Carbon exposed zone
Republic of Korea,,7,Carbon exposed zone
Republic of the Congo,,7,Carbon exposed zone
Russian Federation,345206.333233333,7,Carbon exposed zone
Rwanda,,7,Carbon exposed zone
Saudi Arabia,,7,Carbon exposed zone
Senegal,,7,Carbon exposed zone
Serbia,17614.4958274704,7,Carbon exposed zone
Sierra Leone,,7,Carbon exposed zone
Solomon Islands,,7,Carbon exposed zone
Somalia,,7,Carbon exposed zone
Somaliland,,7,Carbon exposed zone
South Africa,,7,Carbon exposed zone
South Sudan,,7,Carbon exposed zone
Sri Lanka,,7,Carbon exposed zone
Sudan,,7,Carbon exposed zone
Suriname,,7,Carbon exposed zone
Switzerland,93867.1509210037,7,Carbon exposed zone
Syria,,7,Carbon exposed zone
Tajikistan,,7,Carbon exposed zone
Tanzania,,7,Carbon exposed zone
Thailand,,7,Carbon exposed zone
The Gambia,,7,Carbon exposed zone
Timor-Leste,,7,Carbon exposed zone
Togo,,7,Carbon exposed zone
Trinidad and Tobago,,7,Carbon exposed zone
Tunisia,,7,Carbon exposed zone
Turkey,9781.67864252777,7,Carbon exposed zone
Turkmenistan,,7,Carbon exposed zone
Uganda,,7,Carbon exposed zone
Ukraine,56477.5754281349,7,Carbon exposed zone
United Arab Emirates,,7,Carbon exposed zone
United Kingdom,2487296.27294279,7,Carbon exposed zone
United States,1037588.04173262,7,Carbon exposed zone
Uruguay,,7,Carbon exposed zone
Uzbekistan,,7,Carbon exposed zone
Vanuatu,,7,Carbon exposed zone
Venezuela,,7,Carbon exposed zone
Vietnam,,7,Carbon exposed zone
Western Sahara,,7,Carbon exposed zone
Yemen,,7,Carbon exposed zone
Zambia,,7,Carbon exposed zone
Zimbabwe,,7,Carbon exposed zone
Afghanistan,,8,Timber and diversity exposed zone
Albania,,8,Timber and diversity exposed zone
Algeria,,8,Timber and diversity exposed zone
Angola,,8,Timber and diversity exposed zone
Argentina,,8,Timber and diversity exposed zone
Armenia,,8,Timber and diversity exposed zone
Australia,,8,Timber and diversity exposed zone
Azerbaijan,,8,Timber and diversity exposed zone
Bahamas,,8,Timber and diversity exposed zone
Bangladesh,,8,Timber and diversity exposed zone
Belarus,,8,Timber and diversity exposed zone
Belize,,8,Timber and diversity exposed zone
Benin,,8,Timber and diversity exposed zone
Bhutan,,8,Timber and diversity exposed zone
Bolivia,,8,Timber and diversity exposed zone
Bosnia and Herzegovina,,8,Timber and diversity exposed zone
Botswana,,8,Timber and diversity exposed zone
Brazil,,8,Timber and diversity exposed zone
Brunei Darussalam,,8,Timber and diversity exposed zone
Burkina Faso,,8,Timber and diversity exposed zone
Burundi,,8,Timber and diversity exposed zone
Cambodia,,8,Timber and diversity exposed zone
Cameroon,,8,Timber and diversity exposed zone
Canada,147425.514578425,8,Timber and diversity exposed zone
Central African Republic,,8,Timber and diversity exposed zone
Chad,,8,Timber and diversity exposed zone
Chile,,8,Timber and diversity exposed zone
China,,8,Timber and diversity exposed zone
Colombia,,8,Timber and diversity exposed zone
Costa Rica,,8,Timber and diversity exposed zone
Cote d'Ivoire,,8,Timber and diversity exposed zone
Cuba,,8,Timber and diversity exposed zone
Dem. Rep. Korea,,8,Timber and diversity exposed zone
Democratic Republic of the Congo,,8,Timber and diversity exposed zone
Djibouti,,8,Timber and diversity exposed zone
Dominican Republic,,8,Timber and diversity exposed zone
Ecuador,,8,Timber and diversity exposed zone
Egypt,,8,Timber and diversity exposed zone
El Salvador,,8,Timber and diversity exposed zone
Equatorial Guinea,,8,Timber and diversity exposed zone
Eritrea,,8,Timber and diversity exposed zone
Ethiopia,,8,Timber and diversity exposed zone
EU,607736.247378549,8,Timber and diversity exposed zone
Fiji,,8,Timber and diversity exposed zone
Franch_GYN,,8,Timber and diversity exposed zone
Gabon,,8,Timber and diversity exposed zone
Georgia,,8,Timber and diversity exposed zone
Ghana,,8,Timber and diversity exposed zone
Guatemala,,8,Timber and diversity exposed zone
Guinea,,8,Timber and diversity exposed zone
Guinea-Bissau,,8,Timber and diversity exposed zone
Guyana,,8,Timber and diversity exposed zone
Haiti,,8,Timber and diversity exposed zone
Honduras,,8,Timber and diversity exposed zone
Iceland,,8,Timber and diversity exposed zone
India,,8,Timber and diversity exposed zone
Indonesia,,8,Timber and diversity exposed zone
Iran,,8,Timber and diversity exposed zone
Iraq,,8,Timber and diversity exposed zone
Israel,,8,Timber and diversity exposed zone
Jamaica,,8,Timber and diversity exposed zone
Japan,,8,Timber and diversity exposed zone
Jordan,,8,Timber and diversity exposed zone
Kazakhstan,,8,Timber and diversity exposed zone
Kenya,,8,Timber and diversity exposed zone
Kingdom of eSwatini,,8,Timber and diversity exposed zone
Kosovo,,8,Timber and diversity exposed zone
Kuwait,,8,Timber and diversity exposed zone
Kyrgyzstan,,8,Timber and diversity exposed zone
Lao PDR,,8,Timber and diversity exposed zone
Lebanon,,8,Timber and diversity exposed zone
Lesotho,,8,Timber and diversity exposed zone
Liberia,,8,Timber and diversity exposed zone
Libya,,8,Timber and diversity exposed zone
Madagascar,,8,Timber and diversity exposed zone
Malawi,,8,Timber and diversity exposed zone
Malaysia,,8,Timber and diversity exposed zone
Mali,,8,Timber and diversity exposed zone
Mauritania,,8,Timber and diversity exposed zone
Mexico,,8,Timber and diversity exposed zone
Moldova,,8,Timber and diversity exposed zone
Mongolia,,8,Timber and diversity exposed zone
Montenegro,,8,Timber and diversity exposed zone
Morocco,,8,Timber and diversity exposed zone
Mozambique,,8,Timber and diversity exposed zone
Myanmar,,8,Timber and diversity exposed zone
Namibia,,8,Timber and diversity exposed zone
Nepal,,8,Timber and diversity exposed zone
New Caledonia,,8,Timber and diversity exposed zone
New Zealand,,8,Timber and diversity exposed zone
Nicaragua,,8,Timber and diversity exposed zone
Niger,,8,Timber and diversity exposed zone
Nigeria,,8,Timber and diversity exposed zone
North Macedonia,,8,Timber and diversity exposed zone
Northern Cyprus,,8,Timber and diversity exposed zone
Norway,158917.806037637,8,Timber and diversity exposed zone
Oman,,8,Timber and diversity exposed zone
Pakistan,,8,Timber and diversity exposed zone
Palestine,,8,Timber and diversity exposed zone
Panama,,8,Timber and diversity exposed zone
Papua New Guinea,,8,Timber and diversity exposed zone
Paraguay,,8,Timber and diversity exposed zone
Peru,,8,Timber and diversity exposed zone
Philippines,,8,Timber and diversity exposed zone
Puerto Rico,,8,Timber and diversity exposed zone
Qatar,,8,Timber and diversity exposed zone
Republic of Korea,,8,Timber and diversity exposed zone
Republic of the Congo,,8,Timber and diversity exposed zone
Russian Federation,15803.6378217888,8,Timber and diversity exposed zone
Rwanda,,8,Timber and diversity exposed zone
Saudi Arabia,,8,Timber and diversity exposed zone
Senegal,,8,Timber and diversity exposed zone
Serbia,,8,Timber and diversity exposed zone
Sierra Leone,,8,Timber and diversity exposed zone
Solomon Islands,,8,Timber and diversity exposed zone
Somalia,,8,Timber and diversity exposed zone
Somaliland,,8,Timber and diversity exposed zone
South Africa,,8,Timber and diversity exposed zone
South Sudan,,8,Timber and diversity exposed zone
Sri Lanka,,8,Timber and diversity exposed zone
Sudan,,8,Timber and diversity exposed zone
Suriname,,8,Timber and diversity exposed zone
Switzerland,,8,Timber and diversity exposed zone
Syria,,8,Timber and diversity exposed zone
Tajikistan,,8,Timber and diversity exposed zone
Tanzania,,8,Timber and diversity exposed zone
Thailand,,8,Timber and diversity exposed zone
The Gambia,,8,Timber and diversity exposed zone
Timor-Leste,,8,Timber and diversity exposed zone
Togo,,8,Timber and diversity exposed zone
Trinidad and Tobago,,8,Timber and diversity exposed zone
Tunisia,,8,Timber and diversity exposed zone
Turkey,,8,Timber and diversity exposed zone
Turkmenistan,,8,Timber and diversity exposed zone
Uganda,,8,Timber and diversity exposed zone
Ukraine,,8,Timber and diversity exposed zone
United Arab Emirates,,8,Timber and diversity exposed zone
United Kingdom,,8,Timber and diversity exposed zone
United States,139738.112867457,8,Timber and diversity exposed zone
Uruguay,,8,Timber and diversity exposed zone
Uzbekistan,,8,Timber and diversity exposed zone
Vanuatu,,8,Timber and diversity exposed zone
Venezuela,,8,Timber and diversity exposed zone
Vietnam,,8,Timber and diversity exposed zone
Western Sahara,,8,Timber and diversity exposed zone
Yemen,,8,Timber and diversity exposed zone
Zambia,,8,Timber and diversity exposed zone
Zimbabwe,,8,Timber and diversity exposed zone
Afghanistan,,10,Timber and carbon exposed zone
Albania,,10,Timber and carbon exposed zone
Algeria,,10,Timber and carbon exposed zone
Angola,,10,Timber and carbon exposed zone
Argentina,9461.13995190964,10,Timber and carbon exposed zone
Armenia,,10,Timber and carbon exposed zone
Australia,,10,Timber and carbon exposed zone
Azerbaijan,,10,Timber and carbon exposed zone
Bahamas,,10,Timber and carbon exposed zone
Bangladesh,,10,Timber and carbon exposed zone
Belarus,43857.5618642212,10,Timber and carbon exposed zone
Belize,,10,Timber and carbon exposed zone
Benin,,10,Timber and carbon exposed zone
